Wavelength,RI_Water,RI_Water_etching,RI_B,RI_B_etching,RI_C,RI_C_etching,RI_D,RI_D_etching,RI_E,RI_E_etching
1.382,-8.9278415580,-3.9023158807,-8.6390419751,-1.9254523959,-8.4728130474,-0.1122036771,-8.4753706475,-4.5377724573,-8.6656150353,-1.2058990507
1.386,-10.6231780286,-5.7743509117,-9.8098080979,-2.7988375050,-9.0378237372,-0.1193296540,-8.5230308748,-3.5266722706,-8.4602158324,-1.9901761677
1.390,-12.5981107704,-7.9783721292,-11.4185955022,-3.5834782669,-10.1289088667,-0.7709235712,-8.9368174768,-2.6955101616,-8.4644565686,-2.6376960936
1.394,-16.4931852650,-7.9921670161,-14.9388657016,-5.1108812710,-12.9736346430,-1.7788382232,-10.6386428597,-1.7342636751,-8.6758575920,-3.3469843733
1.398,-18.6717235082,-5.2478119141,-17.5925124712,-7.2540802475,-15.5073483187,-2.6951505117,-12.5576371980,-0.6937850317,-9.2785486581,-4.4908652457
1.402,-16.3230912616,-3.4016454073,-18.0023579973,-8.2036754776,-18.7525057172,-3.4433741303,-16.3589224398,-0.0827259774,-11.3218136042,-6.5759188586
1.406,-13.1771884192,-2.4346448432,-14.8917784073,-6.1309231083,-17.3742406463,-4.5880214137,-18.5650393943,-0.1268225941,-13.5290287782,-8.7444844814
1.410,-10.0805677399,-1.7898175398,-11.0564283406,-3.9289801809,-12.8638858563,-6.5233555576,-16.4370334927,-0.8105363507,-17.4061323670,-8.0947693708
1.414,-8.9026604017,-1.0465526223,-9.4568219475,-2.6816659228,-10.5888359091,-8.1125189098,-13.2602583821,-1.8076551731,-18.5640775681,-5.8041625076
1.418,-8.2510374938,-0.3367478984,-8.3670013620,-2.0076914467,-8.7918912829,-6.8781525412,-10.1166670059,-2.7984707563,-15.1023095852,-3.9228391818
1.422,-8.6650349378,-0.0685996001,-8.3491338698,-1.3614531774,-8.2076238178,-4.5160854820,-8.5650607343,-3.5830093807,-11.2279071224,-2.8874928006
1.426,-9.5762952467,-0.5321728336,-8.9462353917,-0.6314278280,-8.3967705019,-2.8990569674,-8.2031049647,-4.5402076467,-9.6039456061,-2.3004887616
1.430,-11.5701308023,-1.6205369381,-10.7589865623,-0.1312730453,-9.6344820186,-2.1265429818,-8.5061929536,-6.1378233685,-8.3483663855,-1.7028090195
1.434,-12.1842527972,-2.8926631393,-11.9501504369,-0.2065746677,-10.9576823611,-1.5962682998,-9.3093537382,-7.7779967756,-8.1361475727,-0.9313486827
1.438,-10.6811053516,-3.9551400361,-11.5246426978,-1.0163507663,-12.1748770855,-0.9466840401,-11.3000731054,-7.1029120656,-8.6516828577,-0.2972975822
1.442,-9.2920617241,-4.7741055648,-10.1267353121,-2.2500838365,-11.3358603374,-0.3517023527,-12.1533767223,-4.8843051418,-9.5630602842,-0.0843173938
1.446,-7.9384190833,-5.9892495468,-8.3307458233,-3.4901789745,-9.2086991635,-0.1105056789,-11.0053723128,-3.0696319120,-11.4968500458,-0.3760058916
1.451,-7.7463920050,-6.9467291168,-7.7806563497,-4.3493228582,-8.2037546414,-0.5095631018,-9.5734770996,-2.1009190625,-12.1295100293,-1.2523745915
1.455,-8.4063778351,-6.0737260835,-8.0033029820,-5.3423890875,-7.6990386177,-1.5688632182,-8.0261651853,-1.6624363145,-10.7071619816,-2.4502992107
1.459,-8.9658574931,-3.7608275798,-8.6218550654,-6.4041822874,-8.0372876803,-2.8644021497,-7.6617464392,-1.1567926471,-9.2985628090,-3.5256370485
1.463,-8.9313914606,-2.1692242852,-9.0433229309,-6.6949097741,-8.6697528272,-3.9373371401,-7.8314150520,-0.6015059272,-8.2399970040,-4.2791307418
1.467,-7.7788907371,-1.3581448382,-8.3108903467,-5.0030382026,-8.9264312405,-4.7146112508,-8.7553333664,-0.2117369802,-7.5867782063,-5.0363014540
1.471,-7.0627639564,-1.0424532898,-7.2348282688,-3.0407996655,-7.7969451923,-5.5657490014,-8.8501967044,-0.2598451055,-8.0665992912,-6.1310261455
1.475,-7.0827410892,-0.7347799527,-7.0103656982,-1.7437061832,-7.1563785405,-6.5276755119,-8.0732639508,-0.9017737232,-8.7021359336,-7.0929714101
1.479,-7.1852267333,-0.3956718774,-7.1812081979,-1.1712957576,-7.0242234088,-6.1737703976,-7.0700570960,-2.1344208709,-8.8027294306,-6.6776830243
1.483,-6.9134791508,-0.3281681465,-7.1196746930,-0.9348875355,-7.1739777641,-4.3240941607,-6.9361125525,-3.4383660392,-8.0340137056,-4.8572919624
1.487,-6.3446194852,-0.8560633309,-6.5583545477,-0.6368989209,-6.9227858310,-2.5182068182,-7.1524164894,-4.4008165909,-6.9753907197,-2.9574203272
1.491,-6.1515049550,-2.0682956190,-6.2427208724,-0.3620089810,-6.5050451122,-1.4493200466,-7.0364915168,-5.0089620196,-6.8273777435,-1.8530087995
1.495,-5.9893222777,-3.5511683981,-6.0603729573,-0.4157511962,-6.1274058460,-1.0203131485,-6.4495161812,-5.6622961523,-7.0727709474,-1.2778806401
1.499,-5.7739848496,-4.6524091204,-5.9204584353,-1.0946264263,-6.0339073858,-0.8458374942,-6.1533497535,-6.2402184333,-7.0163982811,-1.0337450331
1.503,-5.4096372016,-5.0834116459,-5.5563688423,-2.3798970466,-5.7867971312,-0.6053807560,-5.9960027910,-5.6532758209,-6.4359970202,-0.8534847960
1.507,-5.2363433212,-5.3705845126,-5.3341719714,-3.8823343015,-5.5247746539,-0.3862198444,-5.8578838083,-3.8847917399,-6.0992174838,-0.6015781098
1.511,-5.0070487989,-5.4152731339,-5.1116498003,-4.7830076303,-5.2305005370,-0.4996784275,-5.4922707419,-2.2619085175,-5.9251102301,-0.3736012130
1.515,-4.8015091576,-4.3617394697,-4.9323931181,-5.1014969646,-5.0826176551,-1.2063828088,-5.2678361565,-1.2504566309,-5.8218137767,-0.4937286130
1.519,-4.5409133122,-2.6953759442,-4.6438944427,-5.3003366996,-4.8182092831,-2.5013457819,-5.0540295364,-0.8405078769,-5.4818241453,-1.1322230055
1.523,-4.4090448870,-1.3529525198,-4.4883917754,-5.2135289791,-4.6235987980,-3.9654608977,-4.8884706743,-0.7594645378,-5.2431599109,-2.2221087972
1.527,-4.2113943055,-0.6738538399,-4.3026657756,-4.1180378875,-4.4120516475,-4.8534240019,-4.6048267524,-0.6583180382,-5.0184178358,-3.6821651657
1.531,-4.0764982258,-0.5510800948,-4.1664514956,-2.5037544624,-4.2912259951,-5.0739338485,-4.4533010754,-0.4900795512,-4.8825600854,-4.8148291608
1.535,-3.9383156067,-0.6068168231,-3.9860528877,-1.2289167166,-4.0889776873,-5.1338842266,-4.2743304336,-0.5416368958,-4.6117296307,-5.2795832187
1.539,-3.8630530902,-0.5851908117,-3.8906300127,-0.5990283490,-3.9365892218,-4.8508956755,-4.0760903226,-1.0570734255,-4.3719019630,-5.1212317324
1.543,-3.8290336706,-0.7014538848,-3.8502489863,-0.5143349302,-3.8857049302,-4.1255132950,-3.9674881158,-2.1563404138,-4.2635519922,-5.3487152179
1.547,-3.8310817961,-1.2534629255,-3.8238092135,-0.6011055419,-3.8488689048,-2.5997053427,-3.9010397610,-3.6508658625,-4.1570258595,-5.1714936107
