Wavelength,RI_Water,RI_Water_etching,RI_B,RI_B_etching,RI_C,RI_C_etching,RI_D,RI_D_etching,RI_E,RI_E_etching,RI_F,RI_F_etching
1.31951952,-10.58216952,-2.30565125,-10.32416142,-1.301325542,-9.795938356,-0.344489887,-8.764296695,-6.106863799,-8.031146679,-8.920563983,-7.328752816,-1.53202853
1.32012012,-10.65588719,-2.450215458,-10.43555259,-1.384690544,-9.959159992,-0.280806166,-8.956984731,-5.942505932,-8.197650668,-9.252106601,-7.413245505,-1.555217105
1.320720721,-10.71666726,-2.617163373,-10.53350599,-1.466497344,-10.11006067,-0.237302344,-9.150432685,-5.779858774,-8.374223698,-9.499068465,-7.515104185,-1.579344461
1.321321321,-10.7657919,-2.802266426,-10.61651924,-1.542653072,-10.24806016,-0.211985436,-9.341287309,-5.619495845,-8.558708217,-9.654048518,-7.632139789,-1.607594377
1.321921922,-10.80666786,-3.005668341,-10.6850871,-1.612298103,-10.37180188,-0.204150056,-9.529224551,-5.456518037,-8.748682904,-9.703619918,-7.765011956,-1.644500266
1.322522523,-10.8396286,-3.23287973,-10.74275903,-1.674900214,-10.48055664,-0.212523219,-9.709615679,-5.285254607,-8.942670251,-9.646290251,-7.910844413,-1.692655851
1.323123123,-10.86903537,-3.484473537,-10.78944005,-1.731119875,-10.57381548,-0.233980808,-9.882191774,-5.099404447,-9.137568796,-9.490335897,-8.070548287,-1.753741468
1.323723724,-10.94472229,-3.840892402,-10.88558687,-1.818239793,-10.7249975,-0.273534179,-10.11981815,-4.990479759,-9.396414451,-9.537693521,-8.2782147,-1.836480869
1.324324324,-10.9276271,-4.10786857,-10.86233314,-1.838712373,-10.72650066,-0.306423286,-10.20744227,-4.687739248,-9.54097586,-9.001593125,-8.435975105,-1.900664926
1.324924925,-10.95799575,-4.452409228,-10.88899903,-1.898295272,-10.77796137,-0.359221449,-10.33923279,-4.464597374,-9.724390477,-8.693730673,-8.624900129,-2.003241104
